Company Name,Index,CALENDAR_YEAR,CALENDAR_QTR,USD_Value,Local_Currency,VAL_UNIT,Local_Value
Amazon,Cost of Goods Sold,2020,Q1,44257.0,USD,Million,44257.0
Amazon,Operating Expense,2020,Q1,71463.0,USD,Million,71463.0
Amazon,Operating Income,2020,Q1,3989.0,USD,Million,3989.0
Amazon,Revenue,2020,Q1,75452.0,USD,Million,75452.0
Amazon,Tax Expense,2020,Q1,744.0,USD,Million,744.0
Amazon,Total Asset,2020,Q1,221238.0,USD,Million,221238.0
Amazon,Cost of Goods Sold,2020,Q2,52660.0,USD,Million,52660.0
Amazon,Operating Expense,2020,Q2,83069.0,USD,Million,83069.0
Amazon,Operating Income,2020,Q2,5843.0,USD,Million,5843.0
Amazon,Revenue,2020,Q2,88912.0,USD,Million,88912.0
Amazon,Tax Expense,2020,Q2,984.0,USD,Million,984.0
Amazon,Total Asset,2020,Q2,258314.0,USD,Million,258314.0
Amazon,Cost of Goods Sold,2020,Q3,57106.0,USD,Million,57106.0
Amazon,Operating Expense,2020,Q3,89951.0,USD,Million,89951.0
Amazon,Operating Income,2020,Q3,6194.0,USD,Million,6194.0
Amazon,Revenue,2020,Q3,96145.0,USD,Million,96145.0
Amazon,Tax Expense,2020,Q3,569.0,USD,Million,569.0
Amazon,Total Asset,2020,Q3,282179.0,USD,Million,282179.0
Amazon,Cost of Goods Sold,2020,Q4,79284.0,USD,Million,79284.0
Amazon,Operating Expense,2020,Q4,118682.0,USD,Million,118682.0
Amazon,Operating Income,2020,Q4,6873.0,USD,Million,6873.0
Amazon,Revenue,2020,Q4,125555.0,USD,Million,125555.0
Amazon,Tax Expense,2020,Q4,566.0,USD,Million,566.0
Amazon,Total Asset,2020,Q4,321195.0,USD,Million,321195.0
Amazon,Cost of Goods Sold,2021,Q1,62403.0,USD,Million,62403.0
Amazon,Operating Expense,2021,Q1,99653.0,USD,Million,99653.0
Amazon,Operating Income,2021,Q1,8865.0,USD,Million,8865.0
Amazon,Revenue,2021,Q1,108518.0,USD,Million,108518.0
Amazon,Tax Expense,2021,Q1,2156.0,USD,Million,2156.0
Amazon,Total Asset,2021,Q1,323077.0,USD,Million,323077.0
Amazon,Cost of Goods Sold,2021,Q2,64176.0,USD,Million,64176.0
Amazon,Operating Expense,2021,Q2,105378.0,USD,Million,105378.0
Amazon,Operating Income,2021,Q2,7702.0,USD,Million,7702.0
Amazon,Revenue,2021,Q2,113080.0,USD,Million,113080.0
Amazon,Tax Expense,2021,Q2,868.0,USD,Million,868.0
Amazon,Total Asset,2021,Q2,360319.0,USD,Million,360319.0
Amazon,Cost of Goods Sold,2021,Q3,62930.0,USD,Million,62930.0
Amazon,Operating Expense,2021,Q3,105960.0,USD,Million,105960.0
Amazon,Operating Income,2021,Q3,4852.0,USD,Million,4852.0
Amazon,Revenue,2021,Q3,110812.0,USD,Million,110812.0
Amazon,Tax Expense,2021,Q3,1155.0,USD,Million,1155.0
Amazon,Total Asset,2021,Q3,382406.0,USD,Million,382406.0
Amazon,Cost of Goods Sold,2021,Q4,82835.0,USD,Million,82835.0
